,loss,accuracy,val_loss,val_accuracy,lr
0,5.492713928222656,0.055310796946287155,5.069308757781982,0.09445112198591232,9.999999747378752e-05
1,4.931326866149902,0.11092197895050049,4.5056304931640625,0.16205929219722748,0.0001001066921162419
2,4.600806713104248,0.15096323192119598,4.487829208374023,0.16486378014087677,0.00010021337948273867
3,4.349929332733154,0.185737743973732,3.948897123336792,0.24148638546466827,0.00010032007412519306
4,4.1541242599487305,0.2160165011882782,3.814610004425049,0.26292067766189575,0.00010042682697530836
5,3.9948458671569824,0.24045778810977936,3.916670083999634,0.25881409645080566,0.00010053352161776274
6,3.8648874759674072,0.2616448998451233,3.9102375507354736,0.2580128312110901,0.00010064020898425952
7,3.759716272354126,0.28227129578590393,3.4390668869018555,0.3381410241127014,0.0001007469036267139
8,3.6740543842315674,0.2965295612812042,3.88691782951355,0.2808493673801422,0.00010085359826916829
9,3.5992720127105713,0.3112584054470062,3.676422119140625,0.3102964758872986,0.00010096028563566506
10,3.53822922706604,0.32558673620224,3.3621537685394287,0.34755608439445496,0.00010106698027811944
11,3.4757134914398193,0.3377322852611542,3.2406857013702393,0.36969152092933655,0.00010117373312823474
12,3.433929204940796,0.34955742955207825,3.310826539993286,0.3716947138309479,0.00010128042777068913
13,3.3909215927124023,0.3570370078086853,3.417811155319214,0.35186296701431274,0.0001013871151371859
14,3.352496862411499,0.3686518669128418,3.118434190750122,0.41266027092933655,0.00010149380977964029
15,3.3198959827423096,0.37877482175827026,3.2059953212738037,0.40314504504203796,0.00010160050442209467
16,3.292463779449463,0.38407161831855774,3.240717887878418,0.4010416567325592,0.00010170719178859144
17,3.2619690895080566,0.3951457738876343,3.1527600288391113,0.41546472907066345,0.00010181388643104583
18,3.2464945316314697,0.40232497453689575,3.074110507965088,0.42828527092933655,0.00010192063928116113
19,3.222032070159912,0.4068007171154022,3.2432126998901367,0.40895432233810425,0.00010202733392361552
20,3.216426134109497,0.41482096910476685,3.1068594455718994,0.44481170177459717,0.00010213402129011229
21,3.1957008838653564,0.42272108793258667,3.109494209289551,0.4403044879436493,0.00010224071593256667
22,3.1935083866119385,0.4272168278694153,3.0673763751983643,0.45973557233810425,0.00010234741057502106
23,3.1811201572418213,0.4372096359729767,3.8436431884765625,0.3576722741127014,0.00010245409794151783
