,loss,accuracy,val_loss,val_accuracy,lr
0,4.047449111938477,0.5826699733734131,3.9762518405914307,0.6004999876022339,2.2500000341096893e-05
1,4.089086055755615,0.574429988861084,4.001213550567627,0.5936999917030334,3.5000000934815034e-05
2,4.125263690948486,0.5690299868583679,4.068872451782227,0.583899974822998,4.7500001528533176e-05
3,4.169674873352051,0.5659599900245667,4.14003849029541,0.5781999826431274,5.999999848427251e-05
4,4.199070930480957,0.5642399787902832,4.132597923278809,0.5852000117301941,4.7500001528533176e-05
5,4.179202556610107,0.5723199844360352,4.118160724639893,0.593999981880188,3.5000000934815034e-05
6,4.149478435516357,0.5831699967384338,4.058802127838135,0.6074000000953674,2.2500000341096893e-05
7,4.108798503875732,0.5943599939346313,4.018580913543701,0.6172000169754028,9.999999747378752e-06
8,4.097487449645996,0.5984600186347961,4.03942346572876,0.6119999885559082,1.6250000044237822e-05
9,4.105391502380371,0.598770022392273,4.071895122528076,0.609000027179718,2.2500000341096893e-05
10,4.134169101715088,0.594760000705719,4.126868724822998,0.6033999919891357,2.8750000637955964e-05
11,4.148311614990234,0.5938199758529663,4.157072067260742,0.59579998254776,3.5000000934815034e-05
12,4.159465312957764,0.5930299758911133,4.1571455001831055,0.5989999771118164,2.8750000637955964e-05
13,4.144992351531982,0.6012099981307983,4.11268424987793,0.6128000020980835,2.2500000341096893e-05
14,4.141119003295898,0.6053299903869629,4.116827011108398,0.6152999997138977,1.6250000044237822e-05
15,4.1154704093933105,0.611329972743988,4.093194484710693,0.6169999837875366,9.999999747378752e-06
16,4.104761600494385,0.6159800291061401,4.106739044189453,0.6166999936103821,1.3124999895808287e-05
17,4.117075443267822,0.6142899990081787,4.114332675933838,0.6182000041007996,1.6250000044237822e-05
18,4.124917984008789,0.6138100028038025,4.151139259338379,0.6123999953269958,1.9375000192667358e-05
19,4.137187957763672,0.614549994468689,4.170017719268799,0.6083999872207642,2.2500000341096893e-05
20,4.143806457519531,0.613290011882782,4.1786298751831055,0.6118999719619751,1.9375000192667358e-05
21,4.134012699127197,0.6195200085639954,4.154107093811035,0.6137999892234802,1.6250000044237822e-05
22,4.129878520965576,0.6217899918556213,4.15009880065918,0.6208999752998352,1.3124999895808287e-05
23,4.117534160614014,0.6248900294303894,4.161251544952393,0.623199999332428,9.999999747378752e-06
